date,BOXX,SGOV
2023-07-11,102.2448577881,87.3635330200
2023-07-12,102.2448577881,87.3809661865
2023-07-13,102.2847518921,87.4157791138
2023-07-14,102.3076934814,87.4244918823
2023-07-17,102.3246459961,87.4419174194
2023-07-18,102.3246459961,87.4506149292
2023-07-19,102.3096847534,87.4680099487
2023-07-20,102.3346176147,87.5028457642
2023-07-21,102.3346176147,87.5115661621
2023-07-24,102.3894729614,87.5289688110
2023-07-25,102.4044342041,87.5376815796
2023-07-26,102.4144058228,87.5550994873
2023-07-27,102.4453201294,87.5899200439
2023-07-28,102.4742431641,87.6073303223
2023-07-31,102.4592819214,87.6073303223
2023-08-01,102.4742431641,87.6265563965
2023-08-02,102.5131378174,87.6527862549
2023-08-03,102.5540313721,87.6790313721
2023-08-04,102.5739746094,87.6965332031
2023-08-07,102.5420608521,87.7052459717
2023-08-08,102.5739746094,87.7140197754
2023-08-09,102.6238403320,87.7402648926
2023-08-10,102.6437835693,87.7665023804
2023-08-11,102.6537628174,87.7752227783
2023-08-14,102.6886596680,87.8014831543
2023-08-15,102.6936569214,87.8102188110
2023-08-16,102.7335510254,87.8277130127
2023-08-17,102.7634658813,87.8626861572
2023-08-18,102.7933883667,87.8714294434
2023-08-21,102.7893981934,87.8801879883
2023-08-22,102.8183212280,87.8889083862
2023-08-23,102.8183212280,87.9151611328
2023-08-24,102.8831481934,87.9501495361
2023-08-25,102.8881301880,87.9588928223
2023-08-28,102.8931121826,87.9763870239
2023-08-29,102.8931121826,87.9938583374
2023-08-30,102.9230346680,87.9938583374
2023-08-31,102.9330062866,88.0375595093
2023-09-01,102.9729003906,88.0648117065
2023-09-05,103.0327377319,88.0736007690
2023-09-06,103.0427169800,88.0911941528
2023-09-07,103.0776214600,88.1350936890
2023-09-08,103.0726318359,88.1438903809
2023-09-11,103.0865936279,88.1526641846
2023-09-12,103.0975646973,88.1614074707
2023-09-13,103.1125259399,88.1877822876
2023-09-14,103.1623916626,88.2141418457
2023-09-15,103.1873245239,88.2316665649
2023-09-18,103.1773529053,88.2404861450
2023-09-19,103.2122573853,88.2492599487
2023-09-20,103.2172470093,88.2755966187
2023-09-21,103.2521514893,88.3019638062
2023-09-22,103.1324768066,88.3195343018
2023-09-25,103.2721023560,88.3370895386
2023-09-26,103.3219604492,88.3370895386
2023-09-27,103.3269500732,88.3634338379
2023-09-28,103.3618545532,88.3897933960
2023-09-29,103.4017486572,88.4161071777
2023-10-02,103.3917694092,88.4267044067
2023-10-03,103.4416427612,88.4355316162
2023-10-04,103.4715576172,88.4531784058
2023-10-05,103.4964981079,88.5060882568
2023-10-06,103.5613174438,88.5148925781
2023-10-09,103.5313949585,88.5237121582
2023-10-10,103.5613174438,88.5237121582
2023-10-11,103.5712890625,88.5413513184
2023-10-12,103.5962219238,88.5854568481
2023-10-13,103.6111831665,88.5854568481
2023-10-16,103.6161651611,88.6119155884
2023-10-17,103.6710205078,88.6207351685
2023-10-18,103.6660385132,88.6383590698
2023-10-19,103.6859817505,88.6736373901
2023-10-20,103.6929626465,88.6912841797
2023-10-23,103.7358474731,88.7089233398
2023-10-24,103.7707595825,88.7177429199
2023-10-25,103.7907028198,88.7177429199
2023-10-26,103.8605117798,88.7706451416
2023-10-27,103.8605117798,88.7706451416
2023-10-30,103.8904342651,88.7882614136
2023-10-31,103.8904342651,88.8059463501
2023-11-01,103.9103851318,88.8209686279
2023-11-02,103.9602432251,88.8564224243
2023-11-03,104.0001373291,88.8652648926
2023-11-06,103.9801940918,88.8829956055
2023-11-07,103.9951553345,88.8829956055
2023-11-08,103.9951553345,88.9006652832
2023-11-09,104.0300521851,88.9449768066
2023-11-10,104.0699462891,88.9449768066
2023-11-13,104.0500030518,88.9538345337
2023-11-14,104.0450134277,88.9892501831
2023-11-15,104.0998687744,88.9892501831
2023-11-16,104.1497344971,89.0335311890
2023-11-17,104.1646957397,89.0512466431
2023-11-20,104.1696777344,89.0601043701
2023-11-21,104.1896286011,89.0866775513
2023-11-22,104.2544555664,89.1220932007
2023-11-24,104.2694168091,89.1486587524
2023-11-27,104.2993316650,89.1486587524
2023-11-28,104.3192749023,89.1575164795
2023-11-29,104.3242721558,89.1841201782
2023-11-30,104.3292541504,89.2106704712
2023-12-01,104.3990631104,89.2400283813
2023-12-04,104.3990631104,89.2489089966
2023-12-05,104.3691482544,89.2667083740
2023-12-06,104.4190063477,89.2667083740
2023-12-07,104.4638900757,89.3111724854
2023-12-08,104.4888229370,89.3200912476
2023-12-11,104.4788513184,89.3378753662
2023-12-12,104.5187454224,89.3467636108
2023-12-13,104.4888229370,89.3556518555
2023-12-14,104.5287094116,89.4048233032
2023-12-15,104.5636215210,89.4137496948
2023-12-18,104.5686035156,89.4226608276
2023-12-19,104.5785827637,89.4494705200
2023-12-20,104.5885543823,89.4584350586
2023-12-21,104.6154861450,89.5120239258
2023-12-22,104.6832962036,89.5209732056
2023-12-26,104.6783142090,89.5299148560
2023-12-27,104.7082290649,89.5388259888
2023-12-28,104.7680740356,89.5924682617
2023-12-29,104.8678054810,89.6013870239
2024-01-02,104.8279113770,89.6192474365
2024-01-03,104.8678054810,89.6282272339
2024-01-04,104.9475936890,89.6728897095
2024-01-05,104.9425964355,89.6818389893
2024-01-08,104.9176635742,89.7086257935
2024-01-09,104.9675369263,89.7175598145
2024-01-10,104.9575576782,89.7354202271
2024-01-11,104.9874801636,89.7890472412
2024-01-12,105.0373458862,89.7980117798
2024-01-16,105.0772399902,89.8069152832
2024-01-17,105.1021728516,89.8158721924
2024-01-18,105.1271057129,89.8516006470
2024-01-19,105.1570281982,89.8784103394
2024-01-22,105.1470489502,89.8873519897
2024-01-23,105.1570281982,89.9052124023
2024-01-24,105.1869430542,89.9141540527
2024-01-25,105.2368087769,89.9588317871
2024-01-26,105.2168655396,89.9588317871
2024-01-29,105.2467803955,89.9677734375
2024-01-30,105.2767028809,89.9945831299
2024-01-31,105.2368087769,89.9945831299
2024-02-01,105.3265686035,90.0466384888
2024-02-02,105.3564834595,90.0556182861
2024-02-05,105.3564834595,90.0735778809
2024-02-06,105.3814239502,90.0825729370
2024-02-07,105.3465118408,90.1004943848
2024-02-08,105.3864059448,90.1274261475
2024-02-09,105.4263000488,90.1543731689
2024-02-12,105.4063568115,90.1543731689
2024-02-13,105.4661941528,90.1723327637
2024-02-14,105.4761657715,90.1902923584
2024-02-15,105.5459823608,90.2351379395
2024-02-16,105.5360031128,90.2441329956
2024-02-20,105.5858764648,90.2620925903
2024-02-21,105.6058197021,90.2710647583
2024-02-22,105.6756286621,90.3069839478
2024-02-23,105.6756286621,90.3339080811
2024-02-26,105.6856002808,90.3428955078
2024-02-27,105.7055435181,90.3608474731
2024-02-28,105.7155227661,90.3697967529
2024-02-29,105.7653884888,90.3967285156
2024-03-01,105.7703704834,90.4237823486
2024-03-04,105.7753601074,90.4328002930
2024-03-05,105.7953109741,90.4418258667
2024-03-06,105.8152542114,90.4598236084
2024-03-07,105.8302078247,90.5049209595
2024-03-08,105.8501586914,90.5139083862
2024-03-11,105.8701019287,90.5319519043
2024-03-12,105.8750991821,90.5409469604
2024-03-13,105.8701019287,90.5499801636
2024-03-14,105.9349288940,90.5860214233
2024-03-15,105.9449081421,90.6040267944
2024-03-18,105.9698333740,90.6130676270
2024-03-19,105.9897842407,90.6311035156
2024-03-20,105.9847946167,90.6401062012
2024-03-21,106.0446395874,90.6761703491
2024-03-22,106.0346603394,90.6941986084
2024-03-25,106.0246887207,90.7122268677
2024-03-26,106.1244277954,90.7212219238
2024-03-27,106.1543426514,90.7662963867
2024-03-28,106.1742858887,90.7753143311
2024-04-01,106.2341232300,90.8024826050
2024-04-02,106.2241516113,90.8205795288
2024-04-03,106.2241516113,90.8296279907
2024-04-04,106.2740173340,90.8749237061
2024-04-05,106.2440948486,90.8839416504
2024-04-08,106.2839889526,90.9020462036
2024-04-09,106.2939682007,90.9111175537
2024-04-10,106.2939682007,90.9292449951
2024-04-11,106.3238830566,90.9654541016
2024-04-12,106.3837203979,90.9744873047
2024-04-15,106.3737564087,90.9925994873
2024-04-16,106.3936996460,90.9925994873
2024-04-17,106.4335937500,91.0197601318
2024-04-18,106.4535369873,91.0469207764
