strategy,total_return,annual_return,max_drawdown,volatility,sharpe,observations,complete_years,mdd_no_worse_years,mdd_strictly_better_years,return_within_5pp_years,both_within_5pp_years,return_within_10pp_years,both_within_10pp_years,min_return_gap,median_return_gap,min_mdd_gap,median_mdd_gap,strict_eligible,strict_mdd_eligible,risk_first_eligible,entry_vix,severe_vix,normal_qqq_cap,severe_qqq_cap,exit_mode,pass_80pct_objective
neighbor,17.81017565908373,0.1654403811269205,-0.4069021737701236,0.18448067401793047,0.922496587245096,4830,18,18,18,16,16,18,18,-0.067422229467764,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.8,0.45,fast,True
neighbor,19.737602183985874,0.17138712292716995,-0.3896635484364698,0.18515234317394302,0.947313792375789,4830,18,18,18,17,17,18,18,-0.05162892601074587,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.8,0.45,medium,True
neighbor,17.239866594577126,0.1635697826704925,-0.39357330634589793,0.18291116833795212,0.9200597912890868,4830,18,18,18,16,16,18,18,-0.07506679562936203,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.85,0.35,fast,True
neighbor,19.81624266395245,0.17161846903311306,-0.3770263450686986,0.18371915266552954,0.9543505150684584,4830,18,18,18,17,17,18,18,-0.05822917669892491,-0.0037411280157342297,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.85,0.35,medium,True
neighbor,17.509479822528785,0.16446091348156977,-0.3991629278787001,0.1837236290068999,0.9209669455972429,4830,18,18,18,16,16,18,18,-0.07121237885832121,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.85,0.4,fast,True
neighbor,19.83758694487708,0.1716811171261461,-0.38350268077560934,0.18448839781613632,0.9514248909668935,4830,18,18,18,17,17,18,18,-0.05492961867480339,-0.0037411280157342297,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.85,0.4,medium,True
neighbor,17.77443252328668,0.16532473404630643,-0.4051788103145588,0.18466357813384346,0.9212296720054418,4830,18,18,18,16,16,18,18,-0.067422229467764,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.85,0.45,fast,True
neighbor,19.849875285105007,0.1717171573348939,-0.39040216937810734,0.1853778340228259,0.9479085809030598,4830,18,18,18,17,17,18,18,-0.05162892601074587,-0.0037411280157342297,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,25.0,0.85,0.45,medium,True
neighbor,18.387730899883554,0.16728074291813888,-0.3741716947325582,0.1845290932692121,0.9308623440869261,4830,18,18,18,17,17,18,18,-0.07506679562936203,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.75,0.35,fast,True
neighbor,19.947108051215405,0.17200162138816455,-0.3569080918119447,0.1850027637646348,0.9507696612958613,4830,18,18,18,17,17,18,18,-0.05822917669892491,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.75,0.35,medium,True
neighbor,18.532671267205657,0.1677344307774764,-0.382927326772426,0.18510389585997555,0.9306421195176289,4830,18,18,18,17,17,18,18,-0.07121237885832121,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.75,0.4,fast,True
neighbor,19.94718597802538,0.17200184886840675,-0.36590524976807925,0.18555349522396145,0.9484948520412821,4830,18,18,18,17,17,18,18,-0.05492961867480339,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.75,0.4,medium,True
neighbor,18.672015153971262,0.16816760219695648,-0.39203121309681865,0.18577321916842723,0.9299498625727831,4830,18,18,18,17,17,18,18,-0.067422229467764,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.75,0.45,fast,True
neighbor,19.940403911773537,0.1719820479792482,-0.37526026867502815,0.18619523299774882,0.9457710174310273,4830,18,18,18,17,17,18,18,-0.05162892601074587,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.75,0.45,medium,True
neighbor,18.36090918953975,0.16719643407802698,-0.36915609950399475,0.18493973384420048,0.9288167953837166,4830,18,18,18,17,17,18,18,-0.07506679562936203,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.8,0.35,fast,True
neighbor,19.92982600179704,0.1719511526255959,-0.35624647576773794,0.1854578897314702,0.9486601476954143,4830,18,18,18,17,17,18,18,-0.05822917669892491,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.8,0.35,medium,True
neighbor,18.50565343612113,0.16765010289617188,-0.37798188509397823,0.18551320388248224,0.9286100664764556,4830,18,18,18,17,17,18,18,-0.07121237885832121,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,30.0,0.8,0.4,fast,True
