date,QQQ,QLD,XLU,IAU,TLT,BIL,SVXY
2009-12-28,40.0731620789,0.9249089956,8.9490337372,21.7299995422,54.8706703186,73.4426803589,
2009-12-29,39.9084243774,0.9177327752,8.9433517456,21.5079994202,55.2325668335,73.4490737915,
2009-12-30,40.0298156738,0.9230766892,8.9405078888,21.4039993286,55.5957565308,73.4650955200,
2009-12-31,39.6656684875,0.9081140757,8.8126678467,21.4740009308,55.3310852051,73.4811401367,
2010-01-04,40.2465667725,0.9323894978,8.8297119141,21.9780006409,55.2818870544,73.4490737915,
2010-01-05,40.2465667725,0.9330004454,8.7245979309,21.9540004730,55.6388168335,73.4330139160,
2010-01-06,40.0038070679,0.9227707982,8.7757349014,22.3260002136,54.8940277100,73.4330139160,
2010-01-07,40.0298156738,0.9229232669,8.7359571457,22.1819992065,54.9863662720,73.4330139160,
2010-01-08,40.3592567444,0.9378859997,8.7274351120,22.2900009155,54.9617843628,73.4330139160,
2010-01-11,40.1945457458,0.9310158491,8.8183498383,22.5979995728,54.6601524353,73.4330139160,
2010-01-12,39.6916732788,0.9078091979,8.7814159393,22.1119995117,55.5957565308,73.4330139160,
2010-01-13,40.1858520508,0.9294885993,8.8780069351,22.3260002136,54.9494438171,73.4650955200,
2010-01-14,40.2205619812,0.9307098985,8.8382368088,22.4260005951,55.7188606262,73.4490737915,
2010-01-15,39.7523689270,0.9099461436,8.7814159393,22.1940002441,56.0635833740,73.4490737915,
2010-01-19,40.3939514160,0.9384968281,8.8836908340,22.3339996338,55.9035873413,73.4490737915,
2010-01-20,39.8130416870,0.9122365117,8.7899389267,21.8020000458,56.4698371887,73.4490737915,
2010-01-21,39.4402503967,0.8943737149,8.6620941162,21.4920005798,56.7283782959,73.4490737915,
2010-01-22,38.2871208191,0.8429213762,8.4717473984,21.4440002441,56.6299362183,73.4490737915,
2010-01-25,38.4171829224,0.8478070498,8.5285711288,21.5119991302,56.3713493347,73.4650955200,
2010-01-26,38.4518585205,0.8496389389,8.5626602173,21.5259990692,56.3898429871,73.4650955200,
2010-01-27,38.7553062439,0.8623113036,8.5058403015,21.3220005035,56.3590087891,73.4811401367,
2010-01-28,37.7582397461,0.8192572594,8.4404993057,21.3059997559,56.3282928467,73.4650955200,
2010-01-29,37.0993080139,0.7899437547,8.3893594742,21.2040004730,56.8206710815,73.4811401367,
2010-02-01,37.5068092346,0.8064327240,8.4433393478,21.6800003052,56.3048858643,73.4650955200,
2010-02-02,37.8449630737,0.8212418556,8.5115251541,21.8360004425,56.4654998779,73.4490737915,
2010-02-03,38.0530281067,0.8307073116,8.4518623352,21.7439994812,55.8106956482,73.4811401367,
2010-02-04,36.9519386292,0.7835305929,8.2302703857,20.8899993896,56.6940383911,73.4811401367,
2010-02-05,37.2640457153,0.7946757674,8.2160634995,20.9279994965,56.8176231384,73.4811401367,
2010-02-08,36.9952812195,0.7845995426,8.1223115921,20.8199996948,56.8917732239,73.4811401367,
2010-02-09,37.3767547607,0.8007826805,8.2047033310,21.0939998627,56.3234710693,73.4811401367,
2010-02-10,37.2987327576,0.7974243164,8.1677694321,21.0300006866,55.7860412598,73.4811401367,
2010-02-11,37.8622741699,0.8207836747,8.2160634995,21.4419994354,55.4833450317,73.4811401367,
2010-02-12,37.9403266907,0.8247536421,8.1848134995,21.4220008850,55.7118988037,73.4811401367,
