date,VIX,VIX3M
2021-12-09,21.5800000000,24.6600000000
2021-12-10,18.6900000000,23.1800000000
2021-12-13,20.3100000000,24.3200000000
2021-12-14,21.8900000000,25.3500000000
2021-12-15,19.2900000000,23.3000000000
2021-12-16,20.5700000000,24.3700000000
2021-12-17,21.5700000000,25.3800000000
2021-12-20,22.8700000000,26.3100000000
2021-12-21,21.0100000000,25.0000000000
2021-12-22,18.6300000000,23.5600000000
2021-12-23,17.9600000000,23.2400000000
2021-12-27,17.6800000000,22.7400000000
2021-12-28,17.5400000000,22.3300000000
2021-12-29,16.9500000000,21.8300000000
2021-12-30,17.3300000000,21.8800000000
2021-12-31,17.2200000000,21.8800000000
2022-01-03,16.6000000000,21.5300000000
2022-01-04,16.9100000000,21.6200000000
2022-01-05,19.7300000000,23.4700000000
2022-01-06,19.6100000000,23.5000000000
2022-01-07,18.7600000000,22.8700000000
2022-01-10,19.4000000000,22.6800000000
2022-01-11,18.4100000000,21.9800000000
2022-01-12,17.6200000000,21.5800000000
2022-01-13,20.3100000000,23.4100000000
2022-01-14,19.1900000000,22.8200000000
2022-01-18,22.7900000000,25.1200000000
2022-01-19,23.8500000000,25.8100000000
2022-01-20,25.5900000000,27.2500000000
2022-01-21,28.8500000000,29.9500000000
2022-01-24,29.9000000000,30.8200000000
2022-01-25,31.1600000000,31.7600000000
2022-01-26,31.9600000000,31.9500000000
2022-01-27,30.4900000000,30.8700000000
2022-01-28,27.6600000000,28.8200000000
2022-01-31,24.8300000000,26.8500000000
2022-02-01,21.9600000000,24.7600000000
2022-02-02,22.0900000000,25.1400000000
2022-02-03,24.3500000000,26.6700000000
2022-02-04,23.2200000000,26.2500000000
2022-02-07,22.8600000000,25.6900000000
2022-02-08,21.4400000000,24.5400000000
2022-02-09,19.9600000000,23.4900000000
2022-02-10,23.9100000000,26.0700000000
2022-02-11,27.3600000000,28.8300000000
2022-02-14,28.3300000000,29.4400000000
2022-02-15,25.7000000000,27.2800000000
2022-02-16,24.2900000000,26.2600000000
2022-02-17,28.1100000000,29.3200000000
2022-02-18,27.7500000000,29.2200000000
2022-02-22,28.8100000000,29.1100000000
2022-02-23,31.0200000000,30.8800000000
2022-02-24,30.3200000000,30.0500000000
2022-02-25,27.5900000000,28.0400000000
2022-02-28,30.1500000000,29.6500000000
2022-03-01,33.3200000000,32.5900000000
2022-03-02,30.7400000000,30.9700000000
2022-03-03,30.4800000000,30.8000000000
2022-03-04,31.9800000000,32.3400000000
2022-03-07,36.4500000000,35.7400000000
2022-03-08,35.1300000000,35.0000000000
2022-03-09,32.4500000000,33.0600000000
2022-03-10,30.2300000000,31.5200000000
2022-03-11,30.7500000000,32.3400000000
2022-03-14,31.7700000000,33.3200000000
2022-03-15,29.8300000000,31.9600000000
2022-03-16,26.6700000000,28.9600000000
2022-03-17,25.6700000000,28.2200000000
