end,start,strategy,annualized_return,max_drawdown
2012-10-08,2009-10-09,QQQ,0.1846520449455178,-0.16099267605668088
2012-10-08,2009-10-09,selected,0.1853349725622757,-0.15886945804290253
2012-10-09,2009-10-12,QQQ,0.17609795096329983,-0.16099267605668122
2012-10-09,2009-10-12,selected,0.17687201641134576,-0.1588694580429031
2012-10-10,2009-10-13,QQQ,0.17328478174881745,-0.160992676056681
2012-10-10,2009-10-13,selected,0.17407319316119896,-0.1588694580429031
2012-10-11,2009-10-14,QQQ,0.17196427979474693,-0.160992676056681
2012-10-11,2009-10-14,selected,0.1727654751873935,-0.15886945804290276
2012-10-12,2009-10-15,QQQ,0.1665161313682113,-0.16099267605668088
2012-10-12,2009-10-15,selected,0.16736549673534418,-0.15886945804290298
2012-10-15,2009-10-16,QQQ,0.1702710628645876,-0.16099267605668133
2012-10-15,2009-10-16,selected,0.17108854835620768,-0.1588694580429031
2012-10-16,2009-10-19,QQQ,0.17832197619692058,-0.16099267605668066
2012-10-16,2009-10-19,selected,0.17905518569665801,-0.15886945804290276
2012-10-17,2009-10-20,QQQ,0.1741702871329769,-0.160992676056681
2012-10-17,2009-10-20,selected,0.17491915891431442,-0.15886945804290298
2012-10-18,2009-10-21,QQQ,0.16952066101292473,-0.16099267605668088
2012-10-18,2009-10-21,selected,0.17031681908198526,-0.15886945804290287
2012-10-19,2009-10-22,QQQ,0.16083473122057712,-0.160992676056681
2012-10-19,2009-10-22,selected,0.16170214882895007,-0.1588694580429031
2012-10-22,2009-10-23,QQQ,0.16131070467559683,-0.1609926760566811
2012-10-22,2009-10-23,selected,0.16217246675249064,-0.1588694580429032
2012-10-23,2009-10-26,QQQ,0.1592131142813964,-0.16099267605668077
2012-10-23,2009-10-26,selected,0.16009955063466474,-0.15886945804290276
2012-10-24,2009-10-27,QQQ,0.15910786222646922,-0.16099267605668088
2012-10-24,2009-10-27,selected,0.1600148744602452,-0.1588694580429031
2012-10-25,2009-10-28,QQQ,0.1650094451207904,-0.160992676056681
2012-10-25,2009-10-28,selected,0.16586329543681422,-0.15886945804290287
2012-10-26,2009-10-29,QQQ,0.17499510233581983,-0.16099267605668066
2012-10-26,2009-10-29,selected,0.17577973176167938,-0.1588694580429033
2012-10-31,2009-10-30,QQQ,0.16605606395507544,-0.160992676056681
2012-10-31,2009-10-30,selected,0.16691479668889841,-0.1588694580429031
2012-11-01,2009-11-02,QQQ,0.18221161418653598,-0.16099267605668133
2012-11-01,2009-11-02,selected,0.1829022896453507,-0.15886945804290264
2012-11-02,2009-11-03,QQQ,0.1763838016479038,-0.16099267605668077
2012-11-02,2009-11-03,selected,0.17708334898798306,-0.1588694580429031
2012-11-05,2009-11-04,QQQ,0.17772606705442784,-0.16099267605668088
2012-11-05,2009-11-04,selected,0.17838722243002714,-0.15886945804290287
2012-11-06,2009-11-05,QQQ,0.17777778881029804,-0.1609926760566811
2012-11-06,2009-11-05,selected,0.17845392210581235,-0.1588694580429031
2012-11-07,2009-11-06,QQQ,0.15898785076540523,-0.1609926760566811
2012-11-07,2009-11-06,selected,0.15983904571892227,-0.15886945804290287
2012-11-08,2009-11-09,QQQ,0.15061538632646565,-0.160992676056681
2012-11-08,2009-11-09,selected,0.15155830490436006,-0.1588694580429033
2012-11-09,2009-11-10,QQQ,0.14416272796252505,-0.160992676056681
2012-11-09,2009-11-10,selected,0.14514403583571878,-0.15886945804290276
2012-11-12,2009-11-11,QQQ,0.14314045446472767,-0.16099267605668077
2012-11-12,2009-11-11,selected,0.14412491913564285,-0.1588694580429031
2012-11-13,2009-11-12,QQQ,0.1380606055332696,-0.16099267605668122
2012-11-13,2009-11-12,selected,0.13907607931668342,-0.15886945804290298
2012-11-14,2009-11-13,QQQ,0.13574577027926127,-0.1609926760566811
2012-11-14,2009-11-13,selected,0.13680327799422143,-0.15886945804290298
2012-11-15,2009-11-16,QQQ,0.13136525227674434,-0.16099267605668077
2012-11-15,2009-11-16,selected,0.1324249724152795,-0.15886945804290298
2012-11-16,2009-11-17,QQQ,0.12916894523139244,-0.16099267605668133
2012-11-16,2009-11-17,selected,0.13021556019560943,-0.15886945804290287
2012-11-19,2009-11-18,QQQ,0.1368485867503233,-0.16099267605668088
2012-11-19,2009-11-18,selected,0.13783370642787274,-0.15886945804290298
2012-11-20,2009-11-19,QQQ,0.13909957760593605,-0.16099267605668122
2012-11-20,2009-11-19,selected,0.14005629937088293,-0.1588694580429031
2012-11-21,2009-11-20,QQQ,0.14584622924264767,-0.1609926760566811
2012-11-21,2009-11-20,selected,0.1467430618162182,-0.15886945804290298
2012-11-23,2009-11-23,QQQ,0.15355320771359215,-0.16099267605668088
2012-11-23,2009-11-23,selected,0.15438469678046696,-0.1588694580429031
2012-11-26,2009-11-24,QQQ,0.1490706019309611,-0.16099267605668133
2012-11-26,2009-11-24,selected,0.1499288424530114,-0.15886945804290298
2012-11-27,2009-11-25,QQQ,0.14907941750145293,-0.1609926760566811
2012-11-27,2009-11-25,selected,0.14992602271737443,-0.15886945804290287
2012-11-28,2009-11-27,QQQ,0.15071760913672438,-0.160992676056681
2012-11-28,2009-11-27,selected,0.15150293350697752,-0.15886945804290298
2012-11-29,2009-11-30,QQQ,0.15888409083615063,-0.160992676056681
2012-11-29,2009-11-30,selected,0.1596225479661597,-0.1588694580429032
2012-11-30,2009-12-01,QQQ,0.15779581521330743,-0.16099267605668133
2012-11-30,2009-12-01,selected,0.158526902215119,-0.15886945804290287
2012-12-03,2009-12-02,QQQ,0.15307590303003815,-0.16099267605668077
2012-12-03,2009-12-02,selected,0.1538289426269528,-0.1588694580429031
2012-12-04,2009-12-03,QQQ,0.152318198043371,-0.16099267605668055
2012-12-04,2009-12-03,selected,0.15304039185771545,-0.1588694580429031
2012-12-05,2009-12-04,QQQ,0.14959720134266874,-0.16099267605668066
2012-12-05,2009-12-04,selected,0.15035783674083003,-0.15886945804290298
2012-12-06,2009-12-07,QQQ,0.15006630153394318,-0.16099267605668088
2012-12-06,2009-12-07,selected,0.1508895357570208,-0.15886945804290298
2012-12-07,2009-12-08,QQQ,0.14959977132614521,-0.16099267605668066
2012-12-07,2009-12-08,selected,0.15043289182657138,-0.1588694580429032
2012-12-10,2009-12-09,QQQ,0.15308811053247506,-0.16099267605668133
2012-12-10,2009-12-09,selected,0.15392309693735995,-0.1588694580429031
2012-12-11,2009-12-10,QQQ,0.1542176131199131,-0.1609926760566811
2012-12-11,2009-12-10,selected,0.155039281627543,-0.15886945804290298
2012-12-12,2009-12-11,QQQ,0.1514877610115719,-0.16099267605668077
2012-12-12,2009-12-11,selected,0.15233097729247969,-0.15886945804290253
2012-12-13,2009-12-14,QQQ,0.14992088648851132,-0.160992676056681
2012-12-13,2009-12-14,selected,0.15077767881022375,-0.15886945804290264
2012-12-14,2009-12-15,QQQ,0.1426568542217952,-0.16099267605668077
2012-12-14,2009-12-15,selected,0.1435682663743567,-0.15886945804290298
2012-12-17,2009-12-16,QQQ,0.14985282655745125,-0.16099267605668077
2012-12-17,2009-12-16,selected,0.15070351518883962,-0.1588694580429031
2012-12-18,2009-12-17,QQQ,0.155149686976932,-0.16099267605668122
2012-12-18,2009-12-17,selected,0.15591505157292196,-0.1588694580429032
2012-12-19,2009-12-18,QQQ,0.15818790655471138,-0.1609926760566811
2012-12-19,2009-12-18,selected,0.15896278525082752,-0.15886945804290264
2012-12-20,2009-12-21,QQQ,0.15196321318167505,-0.16099267605668133
2012-12-20,2009-12-21,selected,0.15276150080365491,-0.15886945804290242
2012-12-21,2009-12-22,QQQ,0.1436394929935494,-0.16099267605668077
2012-12-21,2009-12-22,selected,0.14455741251938425,-0.15886945804290276
2012-12-24,2009-12-23,QQQ,0.14060008999340123,-0.16099267605668066
2012-12-24,2009-12-23,selected,0.14156238900495133,-0.15886945804290287
2012-12-26,2009-12-24,QQQ,0.1345074787718059,-0.16099267605668088
2012-12-26,2009-12-24,selected,0.1355195429554994,-0.15886945804290298
2012-12-27,2009-12-28,QQQ,0.13045779620614262,-0.1609926760566811
2012-12-27,2009-12-28,selected,0.13149329725185543,-0.1588694580429032
2012-12-28,2009-12-29,QQQ,0.12486453245931606,-0.16099267605668077
2012-12-28,2009-12-29,selected,0.12594355053266204,-0.1588694580429033
2012-12-31,2009-12-30,QQQ,0.1343021008663512,-0.16099267605668088
