date,QQQ,TLT,IAU,XLU,BIL
2019-02-20,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-21,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-22,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-25,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-26,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-27,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-28,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-01,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-04,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-05,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-06,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-07,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-08,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-11,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-12,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-13,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-14,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-15,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-18,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-19,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-20,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-21,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-22,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-25,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-26,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-27,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-28,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-03-29,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-01,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-02,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-03,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-04,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-05,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-08,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-09,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-10,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-11,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-12,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-15,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-16,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-17,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-18,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-22,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-23,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-24,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-25,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-26,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-29,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-04-30,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-01,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-02,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-03,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-06,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-07,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-08,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-09,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-10,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-13,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-14,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-15,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-16,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-17,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-20,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-21,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-22,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-23,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-24,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-28,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-29,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-30,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-05-31,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-03,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-04,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-05,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-06,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-07,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-10,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-11,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-12,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-13,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-14,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-17,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-18,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-19,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-20,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-21,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-24,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-06-25,0.99,0.0015,0.0034999999999999996,0.001,0.004
